phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
baseline,https://python.robertdevore.com/about/,1,26,16,1,false,false,3,0,true,
baseline,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/basic-error-handling/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/building-and-consuming-apis/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/chapter-1-beginner-python/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/chapter-2-intermediate-python/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/chapter-3-advanced-python/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/concurrency-and-parallelism/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,2,21,30,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/file-io-and-data-persistence/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/functions-and-modules/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/,1,26,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/introduction-to-testing/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/object-oriented-programming/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/page/2/,2,3,32,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/page/3/,2,3,32,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/page/4/,2,3,19,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/python-setup-and-ides/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/python-syntax-and-data-types/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/syntax-and-data-types/,1,22,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/virtual-environments-and-package-management/,2,21,31,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,1,26,30,1,false,false,0,0,true,
baseline,https://python.robertdevore.com/,0,26,32,1,false,false,0,0,true,
after,https://python.robertdevore.com/about/,1,26,16,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/basic-error-handling/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/building-and-consuming-apis/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/chapter-1-beginner-python/,1,23,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/chapter-2-intermediate-python/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/chapter-3-advanced-python/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/concurrency-and-parallelism/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,2,21,30,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/file-io-and-data-persistence/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/functions-and-modules/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/,1,26,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/introduction-to-testing/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/object-oriented-programming/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/page/2/,2,3,32,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/page/3/,2,3,32,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/page/4/,2,3,19,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/python-setup-and-ides/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/python-syntax-and-data-types/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/syntax-and-data-types/,1,22,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/virtual-environments-and-package-management/,2,21,31,1,false,false,0,0,true,
after,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,1,26,30,1,false,false,0,0,true,
after,https://python.robertdevore.com/,0,26,32,1,false,false,0,0,true,
