phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/index.html,>_ Python Course,header,200,https://python.robertdevore.com/index.html,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/,Home,nav,200,https://python.robertdevore.com/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/course/,Course,nav,200,https://python.robertdevore.com/course/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/,About,nav,200,https://python.robertdevore.com/about/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/,Home,aside,200,https://python.robertdevore.com/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/course/,Course,aside,200,https://python.robertdevore.com/course/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/,About,aside,200,https://python.robertdevore.com/about/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,Start the course →,aside,200,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/</course/welcome-to-the-complete-python-development-course/>/,Welcome to the Complete Python Development Course,main,404,https://python.robertdevore.com/about/</course/welcome-to-the-complete-python-development-course/>/,0,local generated artifact,,repair
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/</course/chapter-1-beginner-python/>/,Chapter 1: Beginner Python,main,404,https://python.robertdevore.com/about/</course/chapter-1-beginner-python/>/,0,local generated artifact,,repair
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/</course/welcome-to-the-complete-python-development-course/>/,Begin with the course introduction,main,404,https://python.robertdevore.com/about/</course/welcome-to-the-complete-python-development-course/>/,0,local generated artifact,,repair
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,Start learning,nav,200,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/about/,About,nav,200,https://python.robertdevore.com/about/,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/feed/index.xml,RSS,nav,200,https://python.robertdevore.com/feed/index.xml,0,local generated artifact,,none
baseline,https://python.robertdevore.com/about/,https://python.robertdevore.com/sitemap.xml,Sitemap,nav,200,https://python.robertdevore.com/sitemap.xml,0,local generated artifact,,none
