phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://python.robertdevore.com/about/,content/pages/about.md,about,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/about/,200,About This Site | Python Course,31,Learn about the complete Python development course and the Kujo SSG and SiteKit stack behind it.,96,About This Site,h1 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2,685,en,,,Robert DeVore,false,AboutPage | ImageObject,26,16,1,3,0,0,0,0,1,false,true,false,false,8c5a74157f1122d6b3ba4017466fbde65736bec046edba643a1881ba2c2e0881,
baseline,https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,content/posts/advanced-data-structures-and-algorithms.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/advanced-data-structures-and-algorithms/,200,3.1. Advanced Data Structures & Algorithms | Python Course,58,Go beyond the basics with built-in and specialized data structures that make your code faster and more efficient for real-world tasks.,134,3.1. Advanced Data Structures & Algorithms,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h2,2482,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,62ba23d54e58fce3d959701d90cd41ec5a81ea360284cb2fb0f70c7cd8332fd7,
baseline,https://python.robertdevore.com/course/basic-error-handling/,content/posts/basic-error-handling.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/basic-error-handling/,200,1.5. Basic Error Handling | Python Course,41,"Prepare for inevitable mistakes - catch, handle, and recover from errors so your scripts don't just crash at the first sign of trouble.",135,1.5. Basic Error Handling,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2 > h2,2281,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,95db48522b03af93dbe646615da249c1ccbc28d672a1dd8a470a8a6a1bd069b8,
baseline,https://python.robertdevore.com/course/building-and-consuming-apis/,content/posts/building-and-consuming-apis.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/building-and-consuming-apis/,200,3.4. Building and Consuming APIs | Python Course,48,"APIs (Application Programming Interfaces) are the backbone of modern software development, enabling applications to communicate with each other over the internet. In this chapter, you'll…",187,3.4. Building and Consuming APIs,h1 > h2 > h2 > h2 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h2 > h3 > h3 > h2 > h3 > h3 > h3 > h2,2430,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,6ac790dc4564fedbcdb67c57859385639385faf56367aef0b674c01d9ebe9b9b,
baseline,https://python.robertdevore.com/course/chapter-1-beginner-python/,content/posts/chapter-1-beginner-python.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-1-beginner-python/,200,Chapter 1: Beginner Python | Python Course,42,Congratulations on taking the first step toward learning one of the world's most popular and versatile programming languages! Whether you're completely new to programming or coming from…,186,Chapter 1: Beginner Python,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2,1833,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,7c9a39502dbf7096c214fe887a9edf4f96f7ae0f2ff2c9e4aea170a4eedbb2bd,
baseline,https://python.robertdevore.com/course/chapter-2-intermediate-python/,content/posts/chapter-2-intermediate-python.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-2-intermediate-python/,200,Chapter 2: Intermediate Python | Python Course,46,"Congratulations on completing the fundamentals! If you've made it through Chapter 1, you now have the basic tools to write Python scripts, manipulate data, control program flow, and…",182,Chapter 2: Intermediate Python,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2,1994,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,b7a43a0f17d40bc7298cb6a373763f4eb680d029572a4b26b50516ab9519e311,
baseline,https://python.robertdevore.com/course/chapter-3-advanced-python/,content/posts/chapter-3-advanced-python.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-3-advanced-python/,200,Chapter 3. Advanced Python | Python Course,42,"For serious developers and those building production-grade applications. Focus: efficiency, scalability, and best practices.",124,Chapter 3. Advanced Python,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h2 > h2 > h2 > h2 > h2 > h2 > h2,1686,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,22,31,1,0,0,0,0,0,1,false,true,false,false,95e00d09a13655fb9ed20896cde6ca4c173a2250a85fe1170c8eb42897c7fba3,
baseline,https://python.robertdevore.com/course/concurrency-and-parallelism/,content/posts/concurrency-and-parallelism.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/concurrency-and-parallelism/,200,3.3. Concurrency & Parallelism | Python Course,46,"Modern applications demand speed and responsiveness. Users expect web pages to load quickly, data processing to happen in real-time, and interfaces to remain interactive even during…",182,3.3. Concurrency & Parallelism,h1 > h2 > h2 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h2 > h3 > h3 > h2 > h2 > h2,2982,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,a4b5f1e5c93c48eb60e8ec07670eb54fae017ee14cde74c974c5cefe3593fa0c,
baseline,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,content/posts/course-conclusion-from-python-novice-to-professional-developer.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,200,Course Conclusion: From Python Novice to Professional Developer | Python Course,79,"Congratulations! You've just completed a comprehensive journey through Python development that has taken you from writing your first ""Hello, World!"" script to building production-ready…",185,Course Conclusion: From Python Novice to Professional Developer,h1 > h2 > h2 > h3 > h3 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h2 > h2,2178,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,30,1,0,0,0,0,0,2,false,true,false,false,0c19f617f0b04e8afab377d817cc134c92de41f2f3ec6a17ee6e3f710829f413,
baseline,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,content/posts/exceptions-and-robust-error-handling.md,lesson,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,200,2.4. Exceptions & Robust Error Handling | Python Course,55,Learn to catch and handle errors cleanly so your code doesn't crash--and users see helpful messages instead of tracebacks.,122,2.4. Exceptions & Robust Error Handling,h1 > h2 > h2 > h2 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h3 > h3 > h3 > h3 > h2 > h2,2384,en,2025-06-17,2025-06-17,Robert DeVore,false,Article | ImageObject | Organization | Person | Thing | WebPage,21,31,1,0,0,0,0,0,2,false,true,false,false,0a2e3e9ed27784b5886f23071a846603007bfc5c72654734a5211a2965829127,
